binned_distance	distance	AG.v50.1cell.iced.5kb	AG.v50.48hr.iced.5kb	AG.v50.60hr.iced.5kb	AG.v50.5day.iced.5kb	AG.v50.10day.iced.5kb
0	47509.5	9.557227343	9.557227343	9.557227343	9.557227343153741	9.557227343
100000	147529.5	0.6058706896773887	0.6747603340086872	0.6471720248440775	1.509171821148165	1.6798252667394966
200000	247549.5	0.3225935466128491	0.3228866924441637	0.31917791825697367	0.7947125363618908	1.1227523593294608
300000	347569.5	0.23047366276647183	0.2280965260050644	0.22455471648917277	0.5446392121033595	0.8860204172929464
400000	447589.5	0.18547520702718584	0.18320262586034522	0.17594695154528875	0.4189481881875357	0.7821361854751998
500000	547609.5	0.16027761763651763	0.1576629491203946	0.14743421942423524	0.3401788527095815	0.7031564658977308
600000	647629.5	0.14200771467141124	0.1383795094787722	0.12593703203148063	0.2859625241444514	0.6617721342766963
700000	747649.5	0.1297682388203436	0.12435722314910874	0.11081641198540393	0.2558534325942226	0.617652691
800000	847669.5	0.11804583777184571	0.11252297250581093	0.098484222	0.22708752050067912	0.58331005
900000	947689.5	0.10853232237559432	0.10245214130833671	0.088481691	0.20271527562734495	0.5590160720587782
1000000	1047709.5	0.10241553429549073	0.095048895	0.080631038	0.18218563054004955	0.536101028
1100000	1147729.5	0.096949485	0.08807495	0.075057159	0.17308887746645443	0.5159439648795535
1200000	1247749.5	0.091250723	0.081945713	0.068935592	0.15964806582251692	0.4904726873196818
1300000	1347769.5	0.08681064	0.076844345	0.064370177	0.14857970243637614	0.4808253785826269
1400000	1447789.5	0.082478849	0.07133502	0.059830282	0.1346109168538506	0.4665635524284307
1500000	1547809.5	0.078056124	0.066846548	0.055539317810432656	0.1291942214192382	0.4500229714422831
1600000	1647829.5	0.075197751	0.062385921	0.051661514329063546	0.12249041364065552	0.44046051800119834
1700000	1747849.5	0.07169787	0.058827985520071305	0.048568108	0.1151710199258334	0.42609371994834944
1800000	1847869.5	0.069013568	0.055075413789163495	0.04523434	0.10888811932674974	0.408491519
1900000	1947889.5	0.066556585	0.051145056	0.042427134	0.10080738968031963	0.3953682867953172
2000000	2047909.5	0.064461966	0.04803994	0.039142966434360126	0.094483626	0.38369896839986406
2100000	2147929.5	0.061302448599869275	0.045202798	0.037242021428893164	0.088247471	0.37059311075756446
2200000	2247949.5	0.059686303	0.042437094	0.034416999	0.08598315	0.35779665933473104
2300000	2347969.5	0.058130999	0.04000824	0.032263153750007566	0.078964447	0.34384604046806144
2400000	2447989.5	0.056408598	0.037872145820836006	0.030034250547200953	0.077262404	0.3343060588452752
2500000	2548009.5	0.054353022	0.035487139	0.028169057778796292	0.072335842	0.32509639715728234
2600000	2648029.5	0.053089837806666415	0.033797781	0.026497617	0.069075787	0.31155229843462773
2700000	2748049.5	0.051308556	0.03180537	0.024909366907184885	0.066849028	0.30362766748264397
2800000	2848069.5	0.050095855433344605	0.030073077	0.023302998	0.0600639	0.29417926201995287
2900000	2948089.5	0.049297737412021383	0.028525664602171638	0.022017071314679473	0.05949	0.2829689793891616
3000000	3048109.5	0.047865294216885915	0.027028856	0.020785306098036554	0.057720545	0.276032817
3100000	3148129.5	0.046892267	0.025953513496149976	0.019658753917523204	0.051977625717920535	0.26527365651303747
3200000	3248149.5	0.045714221	0.024797177	0.018598384	0.050899506	0.2551334297360679
3300000	3348169.5	0.045711986	0.023837216	0.017555696498131775	0.048596648458256585	0.24484296565561867
3400000	3448189.5	0.044528243629267265	0.023076949	0.016610639383170072	0.04512322	0.2404187579249412
3500000	3548209.5	0.043294347	0.021786743525507628	0.015938755617837353	0.043873591	0.2335590996193582
3600000	3648229.5	0.042858595	0.021390119762494154	0.015294324	0.044726347	0.22438569284243007
